junction_id,lat,lon
J0,28.628173333333333,77.24675666666667
J1,28.6289975,77.2515025
J10,28.623483333333336,77.27646333333334
J100,28.62754,77.24963
J101,28.62948,77.27719
J102,28.62934,77.26994
J103,28.633205,77.24720500000001
J104,28.63073,77.27768333333334
J105,28.63457,77.26996
J106,28.62898,77.26133
J107,28.62955,77.26376
J108,28.62471,77.24724
J109,28.62352,77.2476
J11,28.63082,77.27177
J110,28.62822,77.25336
J111,28.62296,77.24770000000001
J112,28.62403,77.24733
J113,28.631066666666666,77.24722666666666
J114,28.628066,77.245574
J115,28.63381,77.24671
J116,28.63507,77.25037
J117,28.63508,77.24894
J118,28.63514,77.2472625
J119,28.63399,77.2473
J12,28.635205555555558,77.25285555555554
J120,28.63357,77.24729
J121,28.63269,77.24727
J122,28.63704,77.2568
J123,28.6352,77.25165
J124,28.635265,77.249725
J125,28.63522,77.24813
J126,28.63188,77.24688
J127,28.62966,77.24727
J128,28.62928,77.24832
J129,28.62848,77.24886
J13,28.62563,77.27502
J130,28.6342,77.27004500000001
J131,28.63382,77.24701
J132,28.6304,77.27749
J133,28.62898,77.24841
J134,28.62934,77.2474
J135,28.63766,77.2527
J136,28.63699,77.25268
J137,28.62102,77.24841
J138,28.63338,77.2702
J139,28.63199,77.27105
J14,28.62473,77.27550666666667
J140,28.63229,77.25269
J141,28.63308,77.2529
J142,28.631619999999998,77.2524275
J143,28.63286,77.25297
J144,28.6287925,77.2749575
J145,28.62915,77.27529
J146,28.628505,77.27445
J147,28.634905,77.269925
J148,28.63603,77.27002
J149,28.63091,77.27128
J15,28.628193333333332,77.24711333333333
J150,28.63293,77.27007
J151,28.62968,77.27611
J152,28.638145,77.269535
J153,28.63616,77.2696
J154,28.63516,77.26976
J16,28.630784,77.252134
J17,28.6324225,77.24679
J18,28.62907285714286,77.27752714285714
J19,28.630290000000002,77.277185
J2,28.62825,77.27405
J20,28.62839,77.24635
J21,28.629385,77.275815
J22,28.631149999999998,77.271535
J23,28.62588,77.27313
J24,28.6266,77.27053
J25,28.627115,77.27025
J26,28.62791,77.26979
J27,28.63052,77.27199
J28,28.627446666666668,77.24678999999999
J29,28.630595,77.27141499999999
J3,28.62811,77.27336
J30,28.62203,77.27736
J31,28.625412,77.247056
J32,28.62678,77.24765
J33,28.6321375,77.2472325
J34,28.63618,77.24705
J35,28.63282,77.27036
J36,28.631675,77.27111
J37,28.628005,77.27071000000001
J38,28.62805,77.26937000000001
J39,28.62437,77.27571
J4,28.62611,77.24714
J40,28.628140000000002,77.268145
J41,28.62807,77.26274
J42,28.62815333333333,77.26055666666666
J43,28.6262,77.2743
J44,28.62822,77.26785
J45,28.62593,77.27451
J46,28.62729,77.27206
J47,28.63364,77.252955
J48,28.6289,77.2467
J49,28.628015,77.246305
J5,28.629507142857143,77.25195
J50,28.62844,77.25059
J51,28.62812,77.24917
J52,28.628476666666668,77.27808333333333
J53,28.62746,77.2484
J54,28.62775,77.27039
J55,28.62657,77.27183
J56,28.62813,77.249755
J57,28.62989846153846,77.27678076923077
J58,28.628365,77.27349000000001
J59,28.62751,77.24715
J6,28.6225,77.27725
J60,28.63575,77.24716000000001
J61,28.63557,77.24749
J62,28.63545,77.24875
J63,28.63539,77.25189499999999
J64,28.62547,77.24682
J65,28.62632,77.24669
J66,28.6279,77.2481
J67,28.63557,77.25053
J68,28.63542,77.25241
J69,28.628140000000002,77.271915
J7,28.628285,77.248255
J70,28.62805,77.271205
J71,28.62603,77.27479
J72,28.63437,77.253015
J73,28.628226666666666,77.25106333333333
J74,28.62736,77.2501
J75,28.62728,77.24894
J76,28.62935,77.2467
J77,28.63077285714286,77.24683428571429
J78,28.62663,77.24694
J79,28.62852,77.26769
J8,28.62824,77.24778
J80,28.63036,77.27103
J81,28.62823,77.27097
J82,28.629965,77.252095
J83,28.62835,77.27132
J84,28.62816,77.250145
J85,28.62812,77.25220333333333
J86,28.62818,77.25561
J87,28.62819,77.259335
J88,28.62819,77.259725
J89,28.63475,77.254875
J9,28.62742,77.27395
J90,28.634945000000002,77.255795
J91,28.63654,77.25646
J92,28.629235,77.27275499999999
J93,28.62904,77.27147
J94,28.62792,77.25933
J95,28.62791,77.25693
J96,28.62792,77.2535
J97,28.62803,77.25154
J98,28.62822,77.2668
J99,28.62762,77.27192
